,Benchmark,Hardware Vendor	,System,Peak Result,Base Result,# Cores,# Chips ,Processor ,Published
971,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen10 Plus (3.20 GHz, AMD EPYC 7F72)",9.74,9.53,48,2,AMD EPYC 7F72,Apr-20
970,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen10 Plus (3.20 GHz, AMD EPYC 7F72)",9.73,9.54,48,2,AMD EPYC 7F72,May-20
726,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.40 GHz, AMD EPYC 8024P)",10.9,10.8,8,1,AMD EPYC 8024P,Nov-24
723,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.05 GHz, AMD EPYC 8024PN)",10.9,10.8,8,1,AMD EPYC 8024PN,Jan-25
727,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.45 GHz, AMD EPYC 8124P)",11.4,11.3,16,1,AMD EPYC 8124P,Nov-24
719,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.00 GHz, AMD EPYC 8124PN)",11.3,11.2,16,1,AMD EPYC 8124PN,Jan-25
729,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.55 GHz, AMD EPYC 8224P)",11.4,11.3,24,1,AMD EPYC 8224P,Nov-24
720,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.00 GHz, AMD EPYC 8224PN)",11.4,11.3,24,1,AMD EPYC 8224PN,Dec-24
730,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.65 GHz, AMD EPYC 8324P)",11.5,11.4,32,1,AMD EPYC 8324P,Nov-24
724,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.05 GHz, AMD EPYC 8324PN)",11.5,11.4,32,1,AMD EPYC 8324PN,Feb-25
728,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.50 GHz, AMD EPYC 8434P)",11.8,11.8,48,1,AMD EPYC 8434P,Nov-24
721,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.00 GHz, AMD EPYC 8434PN)",11.5,11.4,48,1,AMD EPYC 8434PN,Dec-24
725,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.30 GHz, AMD EPYC 8534P)",11.8,11.7,64,1,AMD EPYC 8534P,Oct-24
722,CINT2017,Hewlett Packard Enterprise,"ProLiant DL145 Gen11 (2.00 GHz, AMD EPYC 8534PN)",11.8,11.7,64,1,AMD EPYC 8534PN,Dec-24
877,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.60 GHz, AMD EPYC 9015)",16.9,16.8,8,1,AMD EPYC 9015,Jan-25
815,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.60 GHz, AMD EPYC 9015)",16.8,16.7,8,1,AMD EPYC 9015,Jan-25
935,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.60 GHz, AMD EPYC 9015)",17.6,17.5,16,2,AMD EPYC 9015,Jan-25
1030,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.60 GHz, AMD EPYC 9015)",17.4,17.4,16,2,AMD EPYC 9015,Jan-25
860,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.60 GHz, AMD EPYC 9115)",17.5,17.4,16,1,AMD EPYC 9115,Jan-25
917,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.60 GHz, AMD EPYC 9115)",17.6,17.5,32,2,AMD EPYC 9115,Jan-25
1009,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.60 GHz, AMD EPYC 9115)",17.7,17.6,32,2,AMD EPYC 9115,Jan-25
865,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.00 GHz, AMD EPYC 9124)",12.8,12.8,16,1,AMD EPYC 9124,Feb-23
803,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.00 GHz, AMD EPYC 9124)",13.1,13.0,16,1,AMD EPYC 9124,Feb-23
921,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.00 GHz, AMD EPYC 9124)",13.1,13.0,32,2,AMD EPYC 9124,Dec-22
1015,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.00 GHz, AMD EPYC 9124)",13.2,13.1,32,2,AMD EPYC 9124,Dec-22
879,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.65 GHz, AMD EPYC 9135)",17.1,17.0,16,1,AMD EPYC 9135,Dec-24
818,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.65 GHz, AMD EPYC 9135)",17.1,17.0,16,1,AMD EPYC 9135,Dec-24
1032,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.65 GHz, AMD EPYC 9135)",17.3,17.1,32,2,AMD EPYC 9135,Dec-24
937,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.65 GHz, AMD EPYC 9135)",17.2,17.2,32,2,AMD EPYC 9135,Dec-24
883,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (4.10 GHz, AMD EPYC 9174F)",16.4,16.2,16,1,AMD EPYC 9174F,Mar-23
825,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (4.10 GHz, AMD EPYC 9174F)",16.4,16.2,16,1,AMD EPYC 9174F,Nov-23
826,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (4.10 GHz, AMD EPYC 9174F)",0.0,0.0,16,1,AMD EPYC 9174F,Feb-23
943,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (4.10 GHz, AMD EPYC 9174F)",16.5,16.3,32,2,AMD EPYC 9174F,Feb-23
1037,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (4.10 GHz, AMD EPYC 9174F)",16.5,16.3,32,2,AMD EPYC 9174F,Feb-23
828,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (4.20 GHz, AMD EPYC 9175F)",21.3,21.1,16,1,AMD EPYC 9175F,Mar-25
885,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (4.20 GHz, AMD EPYC 9175F)",21.2,21.1,16,1,AMD EPYC 9175F,Mar-25
1039,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (4.20 GHz, AMD EPYC 9175F)",21.5,21.4,32,2,AMD EPYC 9175F,Jan-25
945,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (4.20 GHz, AMD EPYC 9175F)",21.5,21.3,32,2,AMD EPYC 9175F,Jan-25
1027,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.55 GHz, AMD EPYC 9184X)",16.3,16.1,32,2,AMD EPYC 9184X,Dec-23
932,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.55 GHz, AMD EPYC 9184X)",16.3,16.1,32,2,AMD EPYC 9184X,Dec-23
796,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.50 GHz, AMD EPYC 9224)",13.2,13.0,24,1,AMD EPYC 9224,Feb-23
859,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.50 GHz, AMD EPYC 9224)",13.2,13.0,24,1,AMD EPYC 9224,Feb-23
915,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.50 GHz, AMD EPYC 9224)",13.1,13.1,48,2,AMD EPYC 9224,Feb-23
1007,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.50 GHz, AMD EPYC 9224)",13.3,13.1,48,2,AMD EPYC 9224,Feb-23
801,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.90 GHz, AMD EPYC 9254)",15.5,15.3,24,1,AMD EPYC 9254,Feb-23
863,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.90 GHz, AMD EPYC 9254)",15.5,15.3,24,1,AMD EPYC 9254,Feb-23
920,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.90 GHz, AMD EPYC 9254)",15.6,15.3,48,2,AMD EPYC 9254,Feb-23
1014,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.90 GHz, AMD EPYC 9254)",15.6,15.4,48,2,AMD EPYC 9254,Feb-23
871,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.25 GHz, AMD EPYC 9255)",18.5,18.3,24,1,AMD EPYC 9255,Jan-25
1023,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.25 GHz, AMD EPYC 9255)",18.6,18.5,48,2,AMD EPYC 9255,Jan-25
928,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.25 GHz, AMD EPYC 9255)",18.5,18.4,48,2,AMD EPYC 9255,Jan-25
882,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (4.05 GHz, AMD EPYC 9274F)",16.1,15.9,24,1,AMD EPYC 9274F,Feb-23
823,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (4.05 GHz, AMD EPYC 9274F)",16.1,15.9,24,1,AMD EPYC 9274F,Nov-23
824,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (4.05 GHz, AMD EPYC 9274F)",0.0,0.0,24,1,AMD EPYC 9274F,Feb-23
1036,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (4.05 GHz, AMD EPYC 9274F)",16.2,16.0,48,2,AMD EPYC 9274F,Feb-23
942,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (4.05 GHz, AMD EPYC 9274F)",16.2,16.0,48,2,AMD EPYC 9274F,Feb-23
827,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (4.10 GHz, AMD EPYC 9275F)",20.2,20.1,24,1,AMD EPYC 9275F,Jan-25
884,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (4.10 GHz, AMD EPYC 9275F)",20.4,20.2,24,1,AMD EPYC 9275F,Mar-25
944,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (4.10 GHz, AMD EPYC 9275F)",20.5,20.4,48,2,AMD EPYC 9275F,Dec-24
1038,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (4.10 GHz, AMD EPYC 9275F)",20.4,20.4,48,2,AMD EPYC 9275F,Dec-24
799,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.70 GHz, AMD EPYC 9334)",14.7,14.5,32,1,AMD EPYC 9334,Feb-23
861,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.70 GHz, AMD EPYC 9334)",14.7,14.4,32,1,AMD EPYC 9334,Feb-23
1012,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.70 GHz, AMD EPYC 9334)",14.7,14.5,64,2,AMD EPYC 9334,Feb-23
918,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.70 GHz, AMD EPYC 9334)",14.8,14.5,64,2,AMD EPYC 9334,Feb-23
864,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.0 GHz, AMD EPYC 9335)",18.8,18.7,32,1,AMD EPYC 9335,Dec-24
802,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.0 GHz, AMD EPYC 9335)",18.8,18.7,32,1,AMD EPYC 9335,Dec-24
1016,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.00 GHz, AMD EPYC 9335)",19.0,18.8,64,2,AMD EPYC 9335,Jan-25
922,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.00 GHz, AMD EPYC 9335)",18.9,18.8,64,2,AMD EPYC 9335,Jan-25
929,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.25 GHz, AMD EPYC 9354)",14.5,14.3,64,2,AMD EPYC 9354,Feb-23
1024,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.25 GHz, AMD EPYC 9354)",14.5,14.2,64,2,AMD EPYC 9354,Feb-23
810,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.25 GHz, AMD EPYC 9354P)",14.4,14.3,32,1,AMD EPYC 9354P,Feb-23
872,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.25 GHz, AMD EPYC 9354P)",14.3,14.1,32,1,AMD EPYC 9354P,Feb-23
933,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.55 GHz, AMD EPYC 9355)",19.0,18.9,64,2,AMD EPYC 9355,Jun-25
934,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.55 GHz, AMD EPYC 9355)",19.1,19.0,64,2,AMD EPYC 9355,Dec-24
1029,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.55 GHz, AMD EPYC 9355)",19.1,19.0,64,2,AMD EPYC 9355,Dec-24
1028,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.55 GHz, AMD EPYC 9355)",19.1,18.9,64,2,AMD EPYC 9355,May-25
875,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.55 GHz, AMD EPYC 9355P)",19.0,18.8,32,1,AMD EPYC 9355P,Jun-25
876,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.55 GHz, AMD EPYC 9355P)",18.9,18.8,32,1,AMD EPYC 9355P,Dec-24
813,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.55 GHz, AMD EPYC 9355P)",19.0,18.9,32,1,AMD EPYC 9355P,May-25
814,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.55 GHz, AMD EPYC 9355P)",19.0,18.9,32,1,AMD EPYC 9355P,Dec-24
812,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.40 GHz, AMD EPYC 9365)",18.5,18.4,36,1,AMD EPYC 9365,Dec-24
874,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.40 GHz, AMD EPYC 9365)",18.5,18.5,36,1,AMD EPYC 9365,Dec-24
931,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.40 GHz, AMD EPYC 9365)",18.5,18.5,72,2,AMD EPYC 9365,Jan-25
1026,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.40 GHz, AMD EPYC 9365)",18.5,18.4,72,2,AMD EPYC 9365,Jan-25
822,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.85 GHz, AMD EPYC 9374F)",0.0,0.0,32,1,AMD EPYC 9374F,Feb-23
821,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.85 GHz, AMD EPYC 9374F)",16.1,15.9,32,1,AMD EPYC 9374F,Oct-23
881,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.85 GHz, AMD EPYC 9374F)",16.1,15.9,32,1,AMD EPYC 9374F,Feb-23
941,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.85 GHz, AMD EPYC 9374F)",16.2,16.0,64,2,AMD EPYC 9374F,Feb-23
1035,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.85 GHz, AMD EPYC 9374F)",16.2,16.0,64,2,AMD EPYC 9374F,Feb-23
820,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.80 GHz, AMD EPYC 9375F)",20.4,20.3,32,1,AMD EPYC 9375F,Jan-25
880,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.80 GHz, AMD EPYC 9375F)",20.4,20.3,32,1,AMD EPYC 9375F,Jan-25
940,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.80 GHz, AMD EPYC 9375F)",20.4,20.3,64,2,AMD EPYC 9375F,Dec-24
1034,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.80 GHz, AMD EPYC 9375F)",20.5,20.4,64,2,AMD EPYC 9375F,Dec-24
923,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.10 GHz, AMD EPYC 9384X)",15.2,14.9,64,2,AMD EPYC 9384X,Mar-24
1017,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.10 GHz, AMD EPYC 9384X)",15.2,15.0,64,2,AMD EPYC 9384X,Dec-23
1013,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.75 GHz, AMD EPYC 9454)",14.5,14.2,96,2,AMD EPYC 9454,Feb-23
919,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.75 GHz, AMD EPYC 9454)",14.5,14.3,96,2,AMD EPYC 9454,Feb-23
800,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.75 GHz, AMD EPYC 9454P)",14.4,14.2,48,1,AMD EPYC 9454P,Feb-23
862,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.75 GHz, AMD EPYC 9454P)",14.3,14.1,48,1,AMD EPYC 9454P,Mar-23
925,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.15 GHz, AMD EPYC 9455)",19.0,18.9,96,2,AMD EPYC 9455,Dec-24
1019,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.15 GHz, AMD EPYC 9455)",19.1,19.0,96,2,AMD EPYC 9455,Dec-24
867,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.15 GHz, AMD EPYC 9455P)",18.9,18.9,48,1,AMD EPYC 9455P,Dec-24
806,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.15 GHz, AMD EPYC 9455P)",19.0,18.9,48,1,AMD EPYC 9455P,Dec-24
817,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.60 GHz, AMD EPYC 9474F)",0.0,0.0,48,1,AMD EPYC 9474F,Feb-23
816,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.60 GHz, AMD EPYC 9474F)",15.4,15.2,48,1,AMD EPYC 9474F,Oct-23
878,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.60 GHz, AMD EPYC 9474F)",15.4,15.2,48,1,AMD EPYC 9474F,Feb-23
1031,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.60 GHz, AMD EPYC 9474F)",15.5,15.3,96,2,AMD EPYC 9474F,Feb-23
936,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.60 GHz, AMD EPYC 9474F)",15.5,15.3,96,2,AMD EPYC 9474F,Feb-23
819,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.65 GHz, AMD EPYC 9475F)",20.5,20.4,48,1,AMD EPYC 9475F,Jan-25
1033,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.65 GHz, AMD EPYC 9475F)",20.5,20.4,96,2,AMD EPYC 9475F,Dec-24
938,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.65 GHz, AMD EPYC 9475F)",20.5,20.3,96,2,AMD EPYC 9475F,Jan-25
939,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.65 GHz, AMD EPYC 9475F)",20.4,20.3,96,2,AMD EPYC 9475F,Dec-24
858,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.45 GHz, AMD EPYC 9534)",14.1,13.9,64,1,AMD EPYC 9534,Feb-23
795,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.45 GHz, AMD EPYC 9534)",14.1,13.9,64,1,AMD EPYC 9534,Feb-23
914,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.45 GHz, AMD EPYC 9534)",14.1,13.9,128,2,AMD EPYC 9534,Feb-23
1006,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.45 GHz, AMD EPYC 9534)",14.1,13.9,128,2,AMD EPYC 9534,Feb-23
855,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.40 GHz, AMD EPYC 9535)",17.3,17.2,64,1,AMD EPYC 9535,Dec-24
791,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.40 GHz, AMD EPYC 9535)",17.3,17.2,64,1,AMD EPYC 9535,Dec-24
912,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.40 GHz, AMD EPYC 9535)",17.2,17.2,128,2,AMD EPYC 9535,Dec-24
1003,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.40 GHz, AMD EPYC 9535)",17.3,17.2,128,2,AMD EPYC 9535,Dec-24
924,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.10 GHz, AMD EPYC 9554)",14.3,14.1,128,2,AMD EPYC 9554,Feb-23
1018,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.10 GHz, AMD EPYC 9554)",14.2,14.0,128,2,AMD EPYC 9554,Feb-23
805,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.10 GHz, AMD EPYC 9554P)",0.0,0.0,64,1,AMD EPYC 9554P,Feb-23
804,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.10 GHz, AMD EPYC 9554P)",14.2,14.0,64,1,AMD EPYC 9554P,Oct-23
866,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.10 GHz, AMD EPYC 9554P)",14.3,14.1,64,1,AMD EPYC 9554P,Feb-23
1022,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.20 GHz, AMD EPYC 9555)",19.0,18.9,128,2,AMD EPYC 9555,Dec-24
1021,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.20 GHz, AMD EPYC 9555)",19.1,19.0,128,2,AMD EPYC 9555,May-25
926,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.20 GHz, AMD EPYC 9555)",19.0,18.9,128,2,AMD EPYC 9555,Jun-25
927,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.20 GHz, AMD EPYC 9555)",19.1,19.0,128,2,AMD EPYC 9555,Dec-24
808,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.20 GHz, AMD EPYC 9555P)",19.0,18.9,64,1,AMD EPYC 9555P,May-25
869,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.20 GHz, AMD EPYC 9555P)",19.0,18.9,64,1,AMD EPYC 9555P,Jun-25
870,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.20 GHz, AMD EPYC 9555P)",19.0,18.9,64,1,AMD EPYC 9555P,Dec-24
809,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.20 GHz, AMD EPYC 9555P)",18.9,18.8,64,1,AMD EPYC 9555P,Dec-24
807,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.15 GHz, AMD EPYC 9565)",18.6,18.5,72,1,AMD EPYC 9565,Dec-24
868,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.15 GHz, AMD EPYC 9565)",18.6,18.5,72,1,AMD EPYC 9565,Dec-24
1020,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.15 GHz, AMD EPYC 9565)",18.7,18.6,144,2,AMD EPYC 9565,Jan-25
811,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (3.30 GHz, AMD EPYC 9575F)",21.2,21.1,64,1,AMD EPYC 9575F,Dec-24
873,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (3.30 GHz, AMD EPYC 9575F)",21.1,21.0,64,1,AMD EPYC 9575F,Dec-24
1025,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (3.30 GHz, AMD EPYC 9575F)",21.1,21.0,128,2,AMD EPYC 9575F,Dec-24
930,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (3.30 GHz, AMD EPYC 9575F)",21.2,21.0,128,2,AMD EPYC 9575F,Dec-24
787,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.25 GHz, AMD EPYC 9634)",14.1,13.9,84,1,AMD EPYC 9634,Feb-23
852,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.25 GHz, AMD EPYC 9634)",14.1,13.9,84,1,AMD EPYC 9634,Feb-23
909,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.25 GHz, AMD EPYC 9634)",14.1,13.9,168,2,AMD EPYC 9634,Feb-23
1000,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.25 GHz, AMD EPYC 9634)",14.1,13.9,168,2,AMD EPYC 9634,Feb-23
790,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.30 GHz, AMD EPYC 9645)",16.1,16.0,96,1,AMD EPYC 9645,Jan-25
854,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.30 GHz, AMD EPYC 9645)",16.2,16.1,96,1,AMD EPYC 9645,Jan-25
1002,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.30 GHz, AMD EPYC 9645)",16.2,16.1,192,2,AMD EPYC 9645,Dec-24
911,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.30 GHz, AMD EPYC 9645)",16.2,16.1,192,2,AMD EPYC 9645,Mar-25
913,CINT2017,Hewlett Packard Enterprise,"ProLiant DL365 Gen11 (2.40 GHz, AMD EPYC 9654)",14.1,14.0,192,2,AMD EPYC 9654,Nov-22
1004,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.40 GHz, AMD EPYC 9654)",13.9,13.9,192,2,AMD EPYC 9654,Nov-22
856,CINT2017,Hewlett Packard Enterprise,"ProLiant DL345 Gen11 (2.40 GHz, AMD EPYC 9654P)",14.1,13.8,96,1,AMD EPYC 9654P,Nov-22
793,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.40 GHz, AMD EPYC 9654P)",0.0,0.0,96,1,AMD EPYC 9654P,Nov-22
792,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.40 GHz, AMD EPYC 9654P)",14.1,13.9,96,1,AMD EPYC 9654P,Oct-23
1011,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.60 GHz, AMD EPYC 9655)",19.4,19.3,192,2,AMD EPYC 9655,Nov-24
1010,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.60 GHz, AMD EPYC 9655)",19.4,19.3,192,2,AMD EPYC 9655,May-25
798,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.60 GHz, AMD EPYC 9655P)",19.4,19.3,96,1,AMD EPYC 9655P,Nov-24
797,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen11 (2.60 GHz, AMD EPYC 9655P)",19.4,19.3,96,1,AMD EPYC 9655P,May-25
1008,CINT2017,Hewlett Packard Enterprise,"ProLiant DL385 Gen11 (2.55 GHz, AMD EPYC 9684X)",14.4,14.2,192,2,AMD EPYC 9684X,Nov-23
